weight_monotonicity, weight_smoothness, weight_empty, weight_max_corner, weight_max_tile, weight_node_average, weight_node_access, score, max_tile
1.98, 2.36, 0.94, 0.44, 0.87, 0.15, 0.19, 6708, 512
1.98, 2.36, 0.94, 0.44, 0.87, 0.15, 0.19, 6660, 512
1.98, 2.36, 0.94, 0.44, 0.87, 0.15, 0.19, 10488, 1024
2.36, 2.08, 1.68, 1.02, 0.87, 1.52, 0.2, 4092, 256
2.36, 2.08, 1.68, 1.02, 0.87, 1.52, 0.2, 6960, 512
2.36, 2.08, 1.68, 1.02, 0.87, 1.52, 0.2, 6984, 512
2.36, 2.08, 1.68, 1.02, 0.87, 1.52, 0.2, 7280, 512
2.36, 2.08, 1.68, 1.02, 0.87, 1.52, 0.2, 10240, 1024
2.77, 1.35, 0.54, 1.04, 0.35, 0.81, 0.13, 4168, 256
2.77, 1.35, 0.54, 1.04, 0.35, 0.81, 0.13, 10328, 1024
2.77, 1.35, 0.54, 1.04, 0.35, 0.81, 0.13, 11556, 1024
2.77, 1.35, 0.54, 1.04, 0.35, 0.81, 0.13, 13948, 1024
2.77, 1.35, 0.54, 1.04, 0.35, 0.81, 0.13, 14292, 1024
2.24, 1.07, 0.95, 0.76, 0.93, 1.63, 0.2, 2936, 256
2.24, 1.07, 0.95, 0.76, 0.93, 1.63, 0.2, 6196, 512
2.24, 1.07, 0.95, 0.76, 0.93, 1.63, 0.2, 6336, 512
2.24, 1.07, 0.95, 0.76, 0.93, 1.63, 0.2, 11624, 1024
2.24, 1.07, 0.95, 0.76, 0.93, 1.63, 0.2, 15116, 1024
2.06, 0.8, 1.84, 1.15, 0.22, 1.14, 0.05, 3140, 256
2.06, 0.8, 1.84, 1.15, 0.22, 1.14, 0.05, 5840, 512
2.06, 0.8, 1.84, 1.15, 0.22, 1.14, 0.05, 11180, 1024
2.06, 0.8, 1.84, 1.15, 0.22, 1.14, 0.05, 11916, 1024
2.06, 0.8, 1.84, 1.15, 0.22, 1.14, 0.05, 13844, 1024
1.57, 2.75, 1.22, 1.34, 0.87, 1.09, 0.12, 5468, 512
1.57, 2.75, 1.22, 1.34, 0.87, 1.09, 0.12, 5844, 512
1.57, 2.75, 1.22, 1.34, 0.87, 1.09, 0.12, 7096, 512
1.57, 2.75, 1.22, 1.34, 0.87, 1.09, 0.12, 7064, 512
1.57, 2.75, 1.22, 1.34, 0.87, 1.09, 0.12, 12080, 1024
1.0, 1.35, 1.52, 0.62, 1.1, 0.75, 0.07, 5432, 512
1.0, 1.35, 1.52, 0.62, 1.1, 0.75, 0.07, 5460, 512
1.0, 1.35, 1.52, 0.62, 1.1, 0.75, 0.07, 6420, 512
1.0, 1.35, 1.52, 0.62, 1.1, 0.75, 0.07, 7128, 512
1.0, 1.35, 1.52, 0.62, 1.1, 0.75, 0.07, 9708, 1024
1.3, 0.7, 0.59, 0.64, 1.02, 0.99, 0.27, 6264, 512
1.3, 0.7, 0.59, 0.64, 1.02, 0.99, 0.27, 6564, 512
1.3, 0.7, 0.59, 0.64, 1.02, 0.99, 0.27, 7276, 512
1.3, 0.7, 0.59, 0.64, 1.02, 0.99, 0.27, 14340, 1024
1.3, 0.7, 0.59, 0.64, 1.02, 0.99, 0.27, 15804, 1024
2.7, 2.73, 1.18, 0.43, 0.12, 1.56, 0.3, 3004, 256
2.7, 2.73, 1.18, 0.43, 0.12, 1.56, 0.3, 5456, 512
2.7, 2.73, 1.18, 0.43, 0.12, 1.56, 0.3, 9372, 512
2.7, 2.73, 1.18, 0.43, 0.12, 1.56, 0.3, 10400, 1024
2.7, 2.73, 1.18, 0.43, 0.12, 1.56, 0.3, 12700, 1024
1.13, 2.68, 1.52, 0.55, 0.83, 1.92, 0.09, 1344, 128
1.13, 2.68, 1.52, 0.55, 0.83, 1.92, 0.09, 2584, 256
1.13, 2.68, 1.52, 0.55, 0.83, 1.92, 0.09, 2780, 256
1.13, 2.68, 1.52, 0.55, 0.83, 1.92, 0.09, 5320, 512
1.13, 2.68, 1.52, 0.55, 0.83, 1.92, 0.09, 10492, 1024
2.58, 1.77, 0.81, 0.34, 1.33, 1.86, 0.17, 3092, 256
2.58, 1.77, 0.81, 0.34, 1.33, 1.86, 0.17, 5404, 512
2.58, 1.77, 0.81, 0.34, 1.33, 1.86, 0.17, 9292, 512
2.58, 1.77, 0.81, 0.34, 1.33, 1.86, 0.17, 11884, 1024
2.58, 1.77, 0.81, 0.34, 1.33, 1.86, 0.17, 12272, 1024
1.22, 1.74, 0.67, 0.18, 1.06, 0.54, 0.06, 952, 128
1.22, 1.74, 0.67, 0.18, 1.06, 0.54, 0.06, 2936, 256
1.22, 1.74, 0.67, 0.18, 1.06, 0.54, 0.06, 4084, 256
1.22, 1.74, 0.67, 0.18, 1.06, 0.54, 0.06, 7284, 512
1.22, 1.74, 0.67, 0.18, 1.06, 0.54, 0.06, 15380, 1024
2.33, 1.19, 1.1, 0.42, 0.7, 1.37, 0.35, 2668, 256
2.33, 1.19, 1.1, 0.42, 0.7, 1.37, 0.35, 6620, 512
2.33, 1.19, 1.1, 0.42, 0.7, 1.37, 0.35, 11432, 1024
2.33, 1.19, 1.1, 0.42, 0.7, 1.37, 0.35, 11740, 1024
2.33, 1.19, 1.1, 0.42, 0.7, 1.37, 0.35, 11720, 1024
2.95, 2.65, 1.87, 0.88, 1.41, 1.48, 0.37, 5336, 512
2.95, 2.65, 1.87, 0.88, 1.41, 1.48, 0.37, 5224, 256
